time,phase,lat,lon,alt,vel_x,vel_y,vel_z,vel_mag,qx,qy,qz,qw
3.6,ASCENT,0.0,0.0,62.73388463072479,15.14506284025354,0.0,0.0,15.14506284025354,0.0,0.0,1.0,0.0
3.65,ASCENT,0.0,0.0,63.501837325282395,15.359053884145615,0.0,0.0,15.359053884145615,0.0,0.0,1.0,0.0
3.7,ASCENT,0.0,0.0,64.28049846738577,15.57322285137793,0.0,0.0,15.57322285137793,0.0,0.0,1.0,0.0
3.75,ASCENT,0.0,0.0,65.06987695768476,15.787569805297705,0.0,0.0,15.787569805297705,0.0,0.0,1.0,0.0
3.8,ASCENT,0.0,0.0,65.86998169776052,16.002094809246486,0.0,0.0,16.002094809246486,0.0,0.0,1.0,0.0
3.85,ASCENT,0.0,0.0,66.68082159385085,16.2167979265603,0.0,0.0,16.2167979265603,0.0,0.0,1.0,0.0
3.9,ASCENT,0.0,0.0,67.50240555498749,16.43167922056981,0.0,0.0,16.43167922056981,0.0,0.0,1.0,0.0
3.95,ASCENT,0.0,0.0,68.33474249299616,16.64673875460047,0.0,0.0,16.64673875460047,0.0,0.0,1.0,0.0
4.0,ASCENT,0.0,0.0,69.17784132249653,16.861976591972695,0.0,0.0,16.861976591972695,0.0,0.0,1.0,0.0
4.05,ASCENT,0.0,0.0,70.0317109618336,17.077392796002016,0.0,0.0,17.077392796002016,0.0,0.0,1.0,0.0
4.1,ASCENT,0.0,0.0,70.89636033307761,17.292987429999236,0.0,0.0,17.292987429999236,0.0,0.0,1.0,0.0
4.15,ASCENT,0.0,0.0,71.7717983610928,17.508760557270605,0.0,0.0,17.508760557270605,0.0,0.0,1.0,0.0
4.2,ASCENT,0.0,0.0,72.65803397353739,17.724712241117977,0.0,0.0,17.724712241117977,0.0,0.0,1.0,0.0
4.25,ASCENT,0.0,0.0,73.55507610086352,17.940842544838976,0.0,0.0,17.940842544838976,0.0,0.0,1.0,0.0
4.3,ASCENT,0.0,0.0,74.46293367724866,18.15715153172716,0.0,0.0,18.15715153172716,0.0,0.0,1.0,0.0
4.35,ASCENT,0.0,0.0,75.38161564059556,18.3736392650722,0.0,0.0,18.3736392650722,0.0,0.0,1.0,0.0
4.4,ASCENT,0.0,0.0,76.3111309306696,18.590305808160036,0.0,0.0,18.590305808160036,0.0,0.0,1.0,0.0
4.45,ASCENT,0.0,0.0,77.25148849189281,18.807151224273056,0.0,0.0,18.807151224273056,0.0,0.0,1.0,0.0
4.5,ASCENT,0.0,0.0,78.20269727054983,19.024175576690265,0.0,0.0,19.024175576690265,0.0,0.0,1.0,0.0
4.55,ASCENT,0.0,0.0,79.1647662166506,19.241378928687457,0.0,0.0,19.241378928687457,0.0,0.0,1.0,0.0
4.6,ASCENT,0.0,0.0,80.13770428393036,19.458761343537393,0.0,0.0,19.458761343537393,0.0,0.0,1.0,0.0
4.65,ASCENT,0.0,0.0,81.12152042798698,19.676322884509972,0.0,0.0,19.676322884509972,0.0,0.0,1.0,0.0
4.7,ASCENT,0.0,0.0,82.11622360907495,19.894063614872408,0.0,0.0,19.894063614872408,0.0,0.0,1.0,0.0
4.75,ASCENT,0.0,0.0,83.12182278931141,20.111983597889413,0.0,0.0,20.111983597889413,0.0,0.0,1.0,0.0
4.8,ASCENT,0.0,0.0,84.13832693453878,20.330082896823374,0.0,0.0,20.330082896823374,0.0,0.0,1.0,0.0
4.85,ASCENT,0.0,0.0,85.16574501339346,20.548361574934525,0.0,0.0,20.548361574934525,0.0,0.0,1.0,0.0
4.9,ASCENT,0.0,0.0,86.20408599823713,20.766819695481143,0.0,0.0,20.766819695481143,0.0,0.0,1.0,0.0
4.95,ASCENT,0.0,0.0,87.25335886422545,20.98545732171972,0.0,0.0,20.98545732171972,0.0,0.0,1.0,0.0
5.0,ASCENT,0.0,0.0,88.31357259023935,21.204274516905155,0.0,0.0,21.204274516905155,0.0,0.0,1.0,0.0
5.05,ASCENT,0.0,0.0,89.38473615702242,21.423271344290928,0.0,0.0,21.423271344290928,0.0,0.0,1.0,0.0
5.1,ASCENT,0.0,0.0,90.46685854997486,21.642447867129302,0.0,0.0,21.642447867129302,0.0,0.0,1.0,0.0
5.15,ASCENT,0.0,0.0,91.55994875729084,21.8618041486715,0.0,0.0,21.8618041486715,0.0,0.0,1.0,0.0
5.2,ASCENT,0.0,0.0,92.6640157699585,22.081340252167898,0.0,0.0,22.081340252167898,0.0,0.0,1.0,0.0
5.25,ASCENT,0.0,0.0,93.77906858175993,22.301056240868213,0.0,0.0,22.301056240868213,0.0,0.0,1.0,0.0
5.3,ASCENT,0.0,0.0,94.90511619020253,22.520952178021698,0.0,0.0,22.520952178021698,0.0,0.0,1.0,0.0
5.35,ASCENT,0.0,0.0,96.042167596519,22.741028126877335,0.0,0.0,22.741028126877335,0.0,0.0,1.0,0.0
5.4,ASCENT,0.0,0.0,97.19023180380464,22.96128415068403,0.0,0.0,22.96128415068403,0.0,0.0,1.0,0.0
5.45,ASCENT,0.0,0.0,98.3493178198114,23.181720312690796,0.0,0.0,23.181720312690796,0.0,0.0,1.0,0.0
5.5,ASCENT,0.0,0.0,99.51943465322256,23.402336676146977,0.0,0.0,23.402336676146977,0.0,0.0,1.0,0.0
5.55,ASCENT,0.0,0.0,100.7005913183093,23.623133304302414,0.0,0.0,23.623133304302414,0.0,0.0,1.0,0.0
5.6,ASCENT,0.0,0.0,101.89279683120549,23.844110260407668,0.0,0.0,23.844110260407668,0.0,0.0,1.0,0.0
5.65,ASCENT,0.0,0.0,103.09606021177024,24.065267607714212,0.0,0.0,24.065267607714212,0.0,0.0,1.0,0.0
5.7,ASCENT,0.0,0.0,104.31039048265666,24.28660540947463,0.0,0.0,24.28660540947463,0.0,0.0,1.0,0.0
5.75,ASCENT,0.0,0.0,105.53579666931182,24.508123728942834,0.0,0.0,24.508123728942834,0.0,0.0,1.0,0.0
5.8,ASCENT,0.0,0.0,106.77228780090809,24.729822629374244,0.0,0.0,24.729822629374244,0.0,0.0,1.0,0.0
5.85,ASCENT,0.0,0.0,108.01987290941179,24.951702174026018,0.0,0.0,24.951702174026018,0.0,0.0,1.0,0.0
5.9,ASCENT,0.0,0.0,109.27856103051454,25.173762426157246,0.0,0.0,25.173762426157246,0.0,0.0,1.0,0.0
5.95,ASCENT,0.0,0.0,110.54836120270193,25.396003449029163,0.0,0.0,25.396003449029163,0.0,0.0,1.0,0.0
6.0,ASCENT,0.0,0.0,111.82928246818483,25.618425305905355,0.0,0.0,25.618425305905355,0.0,0.0,1.0,0.0
