time,mass,thrust,throttle,gimbal_x,gimbal_y,gimbal_z,rw_x,rw_y,rw_z,accel_x,accel_y,accel_z,force_grav_x,force_grav_y,force_grav_z,force_thrust_x,force_thrust_y,force_thrust_z,force_drag_x,force_drag_y,force_drag_z,target_att_x,target_att_y,target_att_z
1.75,544053.2915625754,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1455393619339445,0.0,0.0,-5343868.764464029,-0.0,-0.0,7600000.0,0.0,0.0,-167.26774749669497,-0.0,-0.0,1.0,0.0,0.0
1.8,543915.8829948691,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.149049572352553,0.0,0.0,-5342518.817014077,-0.0,-0.0,7600000.0,0.0,0.0,-177.10629122087713,-0.0,-0.0,1.0,0.0,0.0
1.85,543778.4744271629,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.152561056104466,0.0,0.0,-5341168.852483848,-0.0,-0.0,7600000.0,0.0,0.0,-187.2339949845849,-0.0,-0.0,1.0,0.0,0.0
1.9,543641.0658594567,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.156073812975191,0.0,0.0,-5339818.870871817,-0.0,-0.0,7600000.0,0.0,0.0,-197.65150185165697,-0.0,-0.0,1.0,0.0,0.0
1.95,543503.6572917504,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.159587842752467,0.0,0.0,-5338468.8721764665,-0.0,-0.0,7600000.0,0.0,0.0,-208.3594535444974,-0.0,-0.0,1.0,0.0,0.0
2.0,543366.2487240442,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1631031452262794,0.0,0.0,-5337118.856396294,-0.0,-0.0,7600000.0,0.0,0.0,-219.35849043348966,-0.0,-0.0,1.0,0.0,0.0
2.05,543228.840156338,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166619720188902,0.0,0.0,-5335768.823529803,-0.0,-0.0,7600000.0,0.0,0.0,-230.64925152628877,-0.0,-0.0,1.0,0.0,0.0
2.1,543091.4315886317,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.170137567434909,0.0,0.0,-5334418.773575504,-0.0,-0.0,7600000.0,0.0,0.0,-242.23237445721506,-0.0,-0.0,1.0,0.0,0.0
2.15,542954.0230209255,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.173656686761189,0.0,0.0,-5333068.706531924,-0.0,-0.0,7600000.0,0.0,0.0,-254.10849547659777,-0.0,-0.0,1.0,0.0,0.0
2.2,542816.6144532192,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.177177077966978,0.0,0.0,-5331718.622397595,-0.0,-0.0,7600000.0,0.0,0.0,-266.27824944010973,-0.0,-0.0,1.0,0.0,0.0
